,target
1982);1988 1989 Catholic Lublin,1
student II,1
1981 Representatives Striking Wrocław,1
Solidarity National Council,1
S High School Łęczna,1
first employee environments Łęczna,1
service,1
90 State Piła,1
Aviation Oleśnica,1
parallel Józef author);In,1
structures Founding Committee,1
Brzozowski Poviat Council,1
pedagogical Vocational Education lecturer,1
Białystok Waterworks,1
Podlasie Sight ZR,1
1982 District Bar Białystok,1
own law Łomża,1
Zakładowa SG Trade Gdańsk,1
2007 Masovian Voivode,1
2 August Agreements,1
independent meeting publication,1
leading farmers Rural PZPR,1
local Trade democracy,1
WIP meetings,1
Accredited Solidarity Zagłębie first,1
following  years,1
posthumously Honorary Legnica,1
1955 IX High Szczecin,1
1983 Polish Sailing Trzebieża,1
"Picture"";A Wojciech Soiński",1
independent Widespread Theater,1
worse studio Ił,1
central Technical Organization retirement,1
1981 detention Iława,1
1989 Deputy Bialystok,1
Member Michał Fr,1
Saint George,1
60  crew,1
Media Solidarity PiS.,1
1944  Warsaw,1
leaveEconomic specialty business,1
I Underground II,1
Gen. metal Radom,1
23 SOR crypt,1
1981 Sciences Medical UAKademia,1
printing leaflets,1
SOR KRPT.Offset KE crypt,1
SW publishing houses,1
Grade PiS list,1
Tadeusz Kalisz,1
specialist health Kalisz,1
1992 Sudbury Regional Hospital,1
technical Gen. Radom,1
Polish ZM authors,1
1964  1974,1
mainly dozen mining,1
MO EC KRPT.Plague,1
Ponar Tarnów,1
1994 Kulczyk Tradex,1
high  schools,1
explicit WSK PZL,1
translator,1
prophylactic KW Kalisz,1
1981 WZD Region ZR,1
medical Patriotic Warsaw,1
honorary Polish Neonatology Society,1
quarterly Sejm Criticism,1
Senior Tygodnik Warsaw,1
Repeatedly Czechoslovak revision,1
editorial III office,1
public AŚ Warszawa council,1
1982  health,1
pastoral Co - houses,1
foreign languages Poznań,1
Organizer Scriptures Polish Socialist Party,1
1989 Provincial Disease Gdańsk,1
underground Publishing House Pomestimir,1
then  chairman,1
study Provincial Qualification Poland,1
III outX SOR,1
1980 Department Board,1
Zakładów Chairman Solidarny,1
regional Kaszuby Kashubic 2000,1
name,1
Jacek Kuronia,1
ideological - District Clubs,1
Committee Marian S,1
1965 Olecko k. Gdańsk,1
Russian retirement,1
common  offenses,1
underground SW Tri City,1
1996.A Polish 2007,1
KRYPT.Offset KS Wiktor,1
1962 Catholic 2003,1
BP.Przemyński Diocesan Culture Ordinary,1
leading self government establishments,1
Polish Stage Gdańsk,1
new WPK port,1
again education foreigners,1
lifelong learning Gdańsk,1
III 1981 Crypt sauce,1
underground MP magazines,1
casting Peasant Rzeszów Land,1
Bulletin Chairman Professional Niezniazek,1
2006 Social 2008,1
family court,1
1988 student Warsaw,1
1978  Warsaw,1
military  ZSRS,1
Technical School .,1
Krakow Club Krakow,1
KW MO SOR KRPT.Printing house,1
Olsztyn Mericology Mutations,1
Diocesan Publishing Olsztyn,1
1986 Krosno Odrzańskie,1
1988 Central Executive Committee,1
1981 Krosno Odrzańskie,1
.,1
1981  Rzeszów,1
1985 Epidemiological Elbląg,1
protest prison,1
2007 Gdańsk S.A.,1
1993 Independent Student Association,1
municipal Kraków Czyżyny,1
several hour strike rally,1
III 1989 III grace,1
agricultural mechanization Radom,1
Union Catholic Intelligence Kalisz,1
Solidarity Sor Veto,1
Rzeczpospolita Polska,1
monthly Gazeta Meritum,1
1979 Polcul Foundation Award,1
Economic Szczecin,1
1980 WSS SPOŁ,1
graduate  Wrocław,1
branch Sybiraków Union,1
union minitrail cars,1
woolen Bielsko Rybnik,1
2007 Podbeskidzka truth,1
1931  Kutno,1
responsible poster city,1
Pleszewska  S,1
pastoral Stefan care,1
Repeatedly  SB,1
Dar Pomeranian school ship,1
sufficient  guilt,1
then Gorzów retirement,1
social ZW.In addition,1
several  apartment,1
Electric Siedlce,1
Warsaw.1984 1989 Podlasie Warsaw,1
quick Jasna Góra,1
gardening art study,1
1985 police guerter,1
Rzd Audit Committee Map,1
1 marine VIII,1
inspected.1984 1986 Szczecin Technology,1
1988 Central Maritime Gdańsk,1
1989 holiday God,1
1990 National Remembrance,1
1987–1989 Łódź Saint,1
3 months peace,1
later opposition activities,1
1988 car workshop,1
1987 Katowice Ochojcu,1
1981 Podbeskidz region,1
"underground ""Solidarity plant",1
Recovered Independence Solidarności Podbeskidzie,1
there  1980,1
vocational  Przemyśl,1
martial  1998,1
Human Rights League,1
1982 Pomeranian Military detention,1
electronic teleinformation congress,1
senior Polish Artists,1
scientific jazz articles,1
1985 Grinex Service Sopot,1
2000 Mo retirement,1
Conditional District Lublin,1
MO EC KRPT.Karateka,1
public WSK PZL,1
Second High Radom,1
free  Poland,1
repeatedly Western Pomerania revisions,1
"1980 S"";Member COMPANY COMMISSION",1
commercial  Stanisławów,1
hospitalized;Including strike work,1
EC.Cuba,1
Chemisja First Commission Map,1
preventive  it,1
V crypt sauce,1
Solidarity peasant S,1
apartment.1982 Agricultural reorganization,1
3 Pleszew Fabryka Wębiarówki,1
Solidarity underground company magazine,1
repeatedly  2002,1
2015 Sejm Marshal,1
where  1980,1
Theology 1961,1
Center Lublin Association S,1
Defense beliefs,1
own  stonemasonry,1
sentence,1
vocational locksmith champion,1
Polish National Nszowiekprofessional,1
Solidarity P. Jakubiak,1
1989 p. SB,1
1989 Medical prof,1
1990 Clinic Manager,1
1986 Independent Publishing Fund,1
1989 solidarity work,1
also Radio Wolna Europe,1
J. Pleszew,1
underground port letters,1
Études Sciences Paris,1
delegation International Labor Geneva,1
30 Nowy October,1
I,1
retired.1992 2000 Drivers Training Center,1
new  one,1
technical  Zamość,1
Mining  Konin,1
1 City Hall,1
Solidarity press Konin,1
shipal Gdańsk renovation electromechanic,1
1987 Socialist Party reason,1
literary prize Smile,1
emergency,1
Solidarity Private Practice,1
annual St. homeless,1
catechetical Stalowa Wola,1
2010 Proxy Solidarity region,1
1989 Stalowa Wola,1
electric  technician,1
48  1984,1
1985 handicraft workshop turnover,1
financial M. Toruń,1
grade Saint Paris,1
Nysa,1
Medical Ryszard Pleszew,1
economic Ryszard program,1
own Great Ciesac,1
Individuals Governing Trade Bydgoszcz,1
1986–1989 Wojciech Jaruzelski,1
Solidarity Trade S,1
2009 M3Store Warsaw,1
underground Poland Poland,1
Industry Warsaw,1
Champion deputy chairman.;1975 PZPR,1
underground Free provinceKielce,1
persecuted Social Science scientists,1
high Marcin Warmia,1
technical Stanisław Warsaw,1
lawyer,1
Textile Technical Biłgoraj,1
Piotr print,1
Marian arrangement,1
ZHR,1
1992 Chemistex Wrocław,1
Mo KRPT KRPT.Electron,1
Polish Nicolaus philology,1
Wielkopolska Kujawsko Dobrzyńska,1
Solidarity fighting,1
othersIn  Reverie,1
III SOR KRPT.Prometheus,1
1985 A Radom,1
Health Zakłady Mewa SA,1
electric  Szczecin,1
1967 Tobacco Radom,1
1989 SOR KRPT.Group,1
3  December,1
electoral Solidarny Poland,1
ix  S,1
S ZR Tarnów,1
1985 V W EC,1
widespread Jan Józef Podlasie,1
us,1
1981 sports equipment,1
1989 Toruń Solidarity peasantness,1
fishing ship services,1
2 General Wojciech Przemyśl,1
Manager Section ZR Małopolska,1
Stone Valley Association,1
political Anna prisoners,1
vocational  Żary,1
agricultural Rzeszów Zalesie,1
uncensored Student Strike,1
sworn Solidarity SW,1
Second Freedom Kornel Morawiecki,1
1936 Higher Agricultural Poznań,1
1997 Holder Raspers,1
management Polish Poland,1
Individuals trade Solidarity,1
2003 vice 1997,1
1985 SOR KRPT.ACT,1
internment,1
48 Tygodnik hours,1
Czechowice Dziedzice,1
Nowy Dwór Gdański,1
digital machines S,1
2009 Solidarna Polska party,1
director Michał film,1
2017,1
"others""Fully Wielkopolska voice",1
25 Physical XI,1
48 RMP hours,1
1980  company,1
secondary tourist traffic,1
1985–1996 PSS Source ibid,1
technical car repair mechanic,1
R Trade English,1
locomotive Polish State Węgnińc,1
1988 SOR crypt,1
officers.1984–1989 Jelenia Góra,1
"afraid!""in Modern Warsaw",1
1988 television UG,1
legitimacy,1
OO.Jesuits.1984 1989 Mass OO.Jesuits,1
1979).A Provincial Gdańsk,1
S U Konrad Maruszka,1
political  life,1
1946 Romanesque Philology,1
Trade Unions Lech Wałęsa,1
3 years employment,1
1984 Joanna Wierzbicka Warsaw,1
phototechnical photo Warsaw,1
Basic High Wałbrzych,1
Committee Śląska Huta,1
Correspondence Wrocław,1
Diocesan Pastoral Meetings,1
Cathedral 2017,1
1981 Freedom Justice Głogów,1
new life Poznań,1
secret opposition activists,1
1982–29 SOR crypt,1
Pedagogical High Legnica,1
3 Contractor a,1
School Warsaw,1
Gdańsk machines,1
graduate  Gdańsk,1
second 1st congress,1
honorary RS AWS.Since,1
1956);A Catholic Lublin,1
Zamojska Collegiate Church,1
indievment Zamość region,1
1989  prof,1
1981 Independence Services Clubs,1
Catholic lecturer Lublin,1
Roman Dmowski Warsaw,1
1981 Provincial Gdańsk,1
grade Gdańsk ZR,1
WSW.1988 Catholic Intelligence Tczew,1
underground health service,1
various computer companies,1
colleave.1982 Polish Krakow,1
temple,1
1995 Mathematics prof,1
television emission equipment,1
Poland Culture,1
main Brzeziny Śląskich,1
S Social L.,1
WSW SOR KRPT.Diver,1
SOS KRPT.Conveyor SOS confident,1
free Poland Rebirth,1
hundred thousand hundred zlotys,1
1983 District ZPG,1
1982 Tygodnik Mazowsze,1
Individuals Governing Trade Rzeszów,1
social  contributions,1
1984 workshop Janusz Gdańsk,1
mechanical  Konin,1
I.,1
S Ordinary Ignacy initiator,1
regional Przeworsk magazines,1
Courses High School 1997,1
Chełmińska Earth,1
there Criminal Police,1
1st High Rzeszów,1
1987 locksmith plant,1
shooting,1
1981 trade union,1
participant jazz Poland,1
Dutch charity region,1
vocational Maksie k. Kartuzy,1
1983 Military District Council,1
high  Kalisz,1
1981 Professional Section,1
it,1
John Paul Wałbrzych,1
railway rolling railway PiLe,1
Plagued Stanisław financial,1
SOR KRPT.Director,1
2006 Audit Committee,1
24 BSIPSman revision,1
extramural championship Lututów,1
48 Wanda hours,1
dayV EC Krypt,1
strong Kampinian burn,1
2006 National Veterans,1
1980 Correspondence Secretariat,1
gastronomic  Gdynia,1
Food  participants,1
underground Gdańsk letter,1
basic Siemianowice Śląskie,1
1989 Toruń Presidium,1
amnesty;Defined IX profession,1
High Łomża,1
so Kolporter ŁZPB,1
mechanical  Tamb,1
W-4,1
16 Social XII,1
invalid  cooperatives,1
1 Zos Rzeszów,1
SO SOR crypt,1
electric  Bydgoszcz,1
Sweden,1
Salon;1995 Commercial Union 2007,1
13 court XII,1
Committee Lighting Poland Piła,1
trade unions trade XI,1
own trade business,1
apartment.1984 Mazur Kętrzyn,1
stone,1
48 Czechoslovak revisions,1
1990 Supreme Council,1
library  ties,1
Gdańsk Port Board,1
1981 National NshezekProfessional,1
hard National Committee,1
high Józef Gdańsk,1
1981 Gdańsk Region,1
1950 Nicolaus leaveRights,1
interregional L. Prylińska,1
1946 Pedagogical Szczecin,1
few KW house,1
WatchIII KW EC,1
1985 Workers HW,1
Kor Professional Nevils,1
priestly Catholic theology,1
underground school press,1
"2008.PressPubliki Supervisory Rzeczpospolita"").Since",1
1945 Postgraduate Wrocław,1
Agricultural S,1
1984 VI amnesty,1
technical  Leżajsk,1
Stage Artists Goliszew,1
1994,1
Solidarity Association Dignity,1
2000 Railwaymen Region Gdańsk,1
1981 World Brussels,1
1981  Buddy,1
1983 Kolportage amnesty,1
repressed Jerzy persons,1
illegal months organization,1
short term scholarships,1
vocational truck factory,1
2  Białystok,1
2000 Honorary club,1
1981 Party Organizational Structures,1
degree  Kwidzyn,1
1991 Workstone Skylights,1
1989 Warmian Masurian Region,1
9  VII,1
Solidarność Literary Paris,1
1988 Unitra Głogów,1
Szklarski Zaklaski,1
1985 Health Komarów,1
committee A Zamość,1
Health 1997,1
2018 Gdańsk Technology,1
1956 PG studies,1
underground apartment activists,1
1983 AŚ amnesty,1
1981 Uakademia Medyczna,1
othersIn Krakow Podgórze,1
underground Pre Wriewit,1
retirement;Social parish Faustyna Kraków,1
1936 Poznan Technology,1
Committee temporary coordination Fłt,1
Member Independent Warsaw,1
mechanical metal Tarnów,1
2007 Ostrowski Family Society,1
socially Niepodległościna tarnina,1
weekly Honorary Truth,1
1933 Higher Theater Warsaw,1
own Test publishing Lublin,1
1994 Polish 2006,1
Gdańsk.1986 1988 Warning USA,1
Professional Nevils,1
Polish Czechoslovak rights,1
July Jastrzębie Zdrój,1
Paweł Śpiewak,1
trade unions trade chairman,1
W. Fr,1
numerous  rationalizers,1
olsztyn Tygodnik Ostróda,1
phonographic CDN publishing outbreak,1
many Blessed Virgin times,1
inProvincial communication Poznań,1
2008 Mpgk Katowice,1
Krakow,1
13th postage day,1
1984 United States,1
technical on23 Kluczbork,1
51 Polish Scenes 1971,1
1981 poems stairs,1
WIP IX Gdańsk,1
Father Bernard Kurach,1
1995 Boat Management Kalisz,1
Kalisz,1
2006 Governing Trade study,1
regional Lublin region,1
temporarily  December,1
cultural Culture Gloria activist,1
1982 Opatówek Commune,1
includingProgram Katyn,1
Polish  plastics,1
KM apartment,1
1979 Funeral Conduct Fr,1
1981 Konin Catholic Club,1
1984 Maksymilian Tare 1863,1
Solidarity election Konin,1
high Ostrów Wielkopolski,1
S Lower Wrocław,1
is Kitchen book grandmother,1
technical St. Skalmierzyce,1
WatchIII Sor Krypt,1
currently Graphic Und Leipzig,1
1981 Meat Industry Workers,1
S Catholic Intelligence Siedlce,1
Christian Home Warsaw,1
v parish threats,1
President;Honorary  ZR.Since,1
24 Gdańsk XII,1
technical Komuny Gdynia,1
thanks Economic efforts,1
National Polish Sciences,1
1981 WARMIŃSKIE ZR,1
2 Nowa Ruda,1
S K. Krasnodębski,1
KS Mo EC KRPT.Fobos,1
1983 judgment Afghanistan,1
branch Construction Kielce,1
1987 SW structures,1
othersIn Jerzy Stuhr,1
secondary history schools,1
1959 Warsaw Mechanics,1
1981 Radom PW,1
77 St. conscience,1
Polish Poland fate,1
press,1
independent released.1982 Warsaw,1
1963 High School Warsaw,1
2017–13 Nszowyzek Professional,1
S Branch Puławy Ziemia,1
1997 Promotion retirement,1
Courier Radio Wrocław,1
Solidarity Club crypt,1
religious St. Nicholas,1
Founding Nowa,1
Rząśnia.1990 1992 Rząśnia.1990 2002,1
armed  Dzierżoniów,1
1989 Rzeszów S,1
2 FacultyV crypt,1
simultaneous  apartment,1
olsztyn EC Krypt,1
Solidarity Parliamentary Club,1
Mechanical plants Tarnów,1
Technical Environmental Protection,1
studies,1
own district authorities,1
1988 Szczecin Świnoujście,1
outgoIII crypt SOS.Senior,1
rapporteur Nowa Huta,1
"Wyborcza""  2009",1
3 Teodor Sielewicz,1
2002 Slow Word Association,1
Parisian opposition letters,1
literary Thomas them,1
First Wałbrzych,1
Agricultural  Siedlce,1
Mo sauce;26 EC,1
participant Polish Republic,1
then Land Defense Institution,1
48 Solidarity 1988,1
leaflet  Gniezno,1
1996 Warsaw Habilitation,1
Mining Rud Tamże,1
unsuccessful  attempt,1
118 press titles,1
convertible Tygodnik home,1
later machine Kętrzyn,1
1989 Primary capital,1
Mecum publishing house,1
III EC KRPT.Alligator,1
1987 SOR KRPT.Advice,1
weekly  Square,1
National lawyer,1
scientific Jasna Góra,1
2007 Warsaw Sports 2007,1
President.1996 IPPT Polska 2006,1
Silver State State Merit,1
research Mostostal metal construction,1
eg Krajowy Mazowsze,1
1985 SOR KRPT.Krzysio,1
average piano class,1
MO EC KRPT.Magma,1
Construction Ostrów Wlkp,1
1981 Organizational Bureau,1
human Human Rights,1
1976 Social Association Novum,1
next ZR Commission,1
secondary building Żywiec,1
Solidarity Wielkopolska Solidarity,1
Delegate First Commission Map,1
1945 Delegation Rzeczpospolita Łódź,1
1955 National USA,1
Legal  counsel,1
underground  releases,1
Solidarność Wiesław Kęcik,1
1936  Psychology,1
4 Praga 1996,1
organizer St. Trinity,1
refractory head Radom,1
Club Catholic Intelligence,1
free trade unions coast,1
48 Old revisions,1
hiding,1
parliamentary Gabriel Janowski,1
technical  Legnica,1
national trade farmers,1
2017 Individual 2017,1
agriculture,1
round Gdańsk information table,1
SOR KRPT.Menora,1
vocational Kazimierz Dolny,1
5  years,1
Committee III Szkłobudów,1
amnesty.1969 Catholic Intelligence Club,1
architectural  studio,1
1941 Higher Agricultural Poznan,1
own  Typin,1
KOR solidarity Influx,1
Participant Independent journalist,1
editorial Gazeta Wyborcza,1
production company AGROVOL Sulechów,1
philology.1983 1986 Historical Warsaw,1
1981 District Warsaw,1
WUSW SOR KRPT.Poseur,1
2000 PiS retirement,1
Catholic Intelligence Kalisz,1
probable  events,1
operational documentary care,1
national Zamość farmers,1
Mining Technical Lubin,1
Sustainable Młynów Rzeczpospolita Polska,1
High Kraków,1
Bogdan Krakow,1
2 months fine,1
1987 Mr. V KRYPT,1
high  those,1
1987 BT Krakow,1
5 Polish Scenes Przemyśl,1
private Commune Council Piastowe,1
several Catholic Intelligence Kalisz,1
Commission Management subsidiary,1
1952 Jagiellonian Krakow,1
SS Warsaw,1
22 III 1982,1
managerThis ZR intervention department,1
Day Catholic Friends Lublin,1
manual  Kęty,1
Medical Uakademia,1
Foundation employee Self democratic,1
5 MB Lord,1
General Office,1
1982 prosecutor Zbigniew Knasta,1
District them,1
Higher European School Tam,1
Picquet Activists Socialist RD defense,1
political scientist analyzes,1
1984 Democratic Party collectage,1
Central I ZR,1
KW Mo KW WDK,1
military National camps,1
Mo SOR KRPT.Continuous,1
agricultural  Zamość,1
indievment trade Zamość,1
Individuals Government Trade Zamość,1
KRPT.201 Parliamentarych W Leader,1
Governing Freedom Freedom District,1
new trade unions,1
2001 Paweł Wyszków,1
SOR KRPT.Wicek,1
e.g. Independent Poland,1
other Warsaw Gdańsk,1
Polish Agricultural Academy,1
volume,1
1 student Rzeszów,1
1981 W River Delegate,1
Council trade union region,1
well state Emigration,1
repair PSK Gdańsk,1
Coordinator Gdańsk Shipyard Emissions,1
Willy Małaopolski day,1
definitely  SB,1
26 SOR crypt,1
1981 Akademia Górniczo Hutnicza,1
Provincial Farmers premises,1
1984 District case,1
Divine 2003,1
Philological Jagiellonian Krakow,1
Sign,1
published Cultural News,1
Penual Polygraphic Warsaw,1
judicial whichThe trial,1
Kolporter underground Kolporter releases,1
own Mak Gardens company,1
technical  Kędzierzyn,1
local National Intermediate Piła,1
didactic Krakow magazine,1
