source,target,edge
1983 Warsaw Mrad he,trade unions State Electoral Commission,condemned
26  XI,SOR KE KRPT.Structure,SUSW within
Commission.9 11 Commission.9 organizer,first COMMISSION COMMISSION COMMUNITIES,From
Regina Jung,1934 Gdańsk Technology,graduate of
1981 Gdańsk Lenin,amnesty.1983 1989 amnesty.1983 employment,arrested
1989  1992,retired.1993 2002 Christian Culture Rebirth,restored to
1980 Independent wife,independent Juniszewska publications,led
1984 Dystrybucja Kolporteż co,nationwide Holy Trinity,Commissioner of
He,Freedom,awarded
he,private printing plant,From
70  He,economic  technician,graduated from
1971 trade he,unexplained Bogdan Gołaszewski circumstances,gathered
1980  President,201 Lech votes,conducted
19  referendum,2006  retirement,From
1946  He,technical  Olsztyn,graduated from agricultural
Władysław Dzaczka participant,responsible Polish Christ,Boboli
He,Polonia Restituta,awarded
9  I,1985 crypt sauce,Mieszko
Several Jacques times,1988 Welter Zakopane,activity
new victim organizer,Belarus Windy Chicago,publicist
Laureate,2012 Newspapers Press 2012,awarded
1943 born5 He,Railway Technical Poznań,graduated from
1980  member,First Mazowsze region,Chairman of
organizer,underground  ZSRS,Belarusian
Kazimiera Jurkiewicz She,economic  Wrocław,completed
underground Roman Pawłowski);She,activists Blessed Virgin retirement,From
Professional Niejni trade unions,socially RS AWS,From
Franciszek Jurolajć,professional mining Lubin,graduated from
exempt reasons;3 investigation,1991 Trainer Chrobry pension,discontinued by
2008  Welder,COMMISSION Main Board Rudna,S
then World War he,surgical Catholic Intelligence,attempt
working  DLP,Committee Paweł S,member of
IX 1945 Bielsko He,High Tarnów,graduated from
1985  1989,Staff Befam,shifted from
1986,SOR KRPT.Silent,Developed by
1983 health;fired;In he,technical Kashubian Pomeranian Gdańsk,member of
founder,Polish Welski Landscape Park,member of
1956 Jacek Maria He,Continuing Education .,completed
1987  1989,SOR crypt,Blackbird
economic Bielsko President,Cieszyn SA,establishments
1988  1989,SOR KRPT.Emissary,Developed by
Kazimierz Kacprzak,mechanical  plants,Nowotki
1981 Isolation.1982 1989SKKOMISJA Kolporter,S help Siedlce,Factory in
He,2011 Golden Freedom,awarded
Zdzisław He,construction Kutno,graduated from
responsible strike Kolporter,Solidarity trade Centrumio,COMMITTEE
banner trade list,meritorious  activists,placed
organizer,private Tadeusz Szczecin,Until
1983  driver,underground Related Sweden,talk about
Independent Self Governing Trade Union,Solidarity Individual AR,In
participant,1999 Police retirement,editor
1959 Stalowa He,public  Low,graduated from
1991 Member COMMISSION,1998 AWS list,NIELS
Edmund Hubert He,Wood Jarocin,graduated from
1985 Lubin Members,Self Trade Union,Solidarity
participant city collections,1983  SB,After
Trade Unions Jarocin he,S,appeared with
1980 I member,Antoni Shovel,removed from didactic
III Prison he,underground Dorota Stec,II
Zakładowa B. she,light life traffic,Co
1994 Nszowień delegate,2002 Bytom Odrzański,From
2000 Filling He,Polish Skackień,graduated from
30 HSW VIII,striking Solidarity Huta,detained
song Z. walls,hymn Lluía communism,become
Masically  songs,martial conspiratorial law,became
together drink source,2004  Poetry,tunnel
investigation Lublin.23 ZW.with,Tourist Academic Lublin,From
He,Golden Freedom,awarded
1978 Greek Catholic investigation,Solidarność Wiesław Kęcik,In
times  he,driving  license,deprived of
Scientific  decorations,2006).A Archenic 2013,retired
XI,KW MO SOR KRPT.Rebel,Developed by
1980 Theological Academy,independent Widespread Theater,Puławska in
times  he,car,burned by
repressed Charystwna Brygida,worse studio Ił,transferred from
again Committee Civic Committee,central Technical Organization retirement,From
1937 Polish he,lawyer,worked as
1939 National President,1945 Delegation Rzeczpospolita Łódź,Lodz
1945 Provincial he,1955 National USA,member of
criminal  he,Legal  counsel,From
1962  1985,K Sor Krypt,Chadek
a FIS publishing hours.(SB,underground  releases,confiscated
1949 Jarosław graduate,1976,doctorate in
1980  he,1981 Independence Services,Signatory of
President,National Security Poland,Polska
II 10 II IX,so III-2 crypt,Club
10 born18 IV,1996 Russia).A prof,died in
Cooperator,Solidarity labor law,conducted
1980 Gdańsk Lenin,first Program PZPR,Gdańsk
1988 Henryk participant,S Lech Wałęsa,From
23  2005,presidential Rzeczpospolita Polska,Selected for
Dr.,40 Catholic law,UniversityI.
Bachelor Order,together Helena Mackiewicz Wawel,Buried
4  IV,2 SOS SOR KRPT.Kacper,Counselor
1989 d.28 cancer).He,1st Pedagogical Opole,Kaczyński
local 25 II,Happening orange slogan,Stalin
1980 strike participant,S Polmozbytu;In VI,Chairman of
1990 Western Pomerania proxy,service company Rotoni SC,owner of
1981  Isolation,Iława,interrogated
night worker,Warsaw;1998 2002 State Control ABW,seconded to
underground employee self it,1 independence anniversary,retained
1995–1998 City 1998–2004,Management Plant retirement,member of
16  VII,KE KRPT.Comet KE tourist,Developed by
Janusz Ryszard Kalbarczyk,1952 Szczecin Technology,graduate of
Three print times,1988 student Szczecin,specialist in
1989  he,pre Szczecin Kasprowicz Park,designed
1980  1981,1982 crypt sauce,Trial
Stanisław Kaleciak,2003 d.13 Rzeszów,graduate of
Paul II.1987 he,Raba Wyżna,worked on
1994 People Christian 1998,Secretary Raba Wyżna,In
1980  Participant,design  shipyard,Shipyard;From
1988 KS member,1988 Staff Council,From
1937 Stanisław He,basic chemical Pustków,graduated from
Solidarity R;1984 He,underground Earth Mielce,printed
V,KW MO EC Krypt,Clone
1989 Christian author,1989 Kashubian Pomeranian Association,In
legal Stanisław 1982–1986,1988–1990 Nowy Sącz,inspector in
-organizer Tax S,Lesser Poland region,delegate to
1947 Nowa He,Automotive Technical Olsztyn,graduated from
member factory commission,ZR,delegated to
same prison judgment,fine culture.31 proceedings,Isolation in
then  President,Region Pro Patria,repressed in
1982  1984,Mr. V register,Developed by
currently born25 Ukraine).He,railway technical Nowy Sącz,Kałyniuk
organizer,"independent publishing houses""Goniec Małopolski",Kolporter of independent
1989 warning member,several et country,Jemioło
1951 Konstancin He,supernatural Chorzów Batory,graduated from
various trade 1989,altus cooperative Altus altus worker,appointed
1982  Employee,Piaseczno,plants
"1980 S"";1980 1981",Culture Section,From
1982  VI,tuberculic Psychiatric hospital Otwock,After
he,Bioenergotherapy Polish Warsaw,Member of
II He,technical Navy Gdynia,graduated from
9 removal XII,1981 removal Strzebelinki,released
2001 Employee Bud IPN,2016 Citizens Rzeczpospolita Polska,From
1980  KS,maritime Pomeranian Sorberman,A. Warski;from
16 Zdzisław VI,11th Zdzisław Głodówka,interned in
cultural Piotr income,heat Slow Word Warsaw,member of
1981 28 II,SO V crypt,Delta
1943 Franciszek Józef He,high  Głogów,graduated from high
23 Provincial 1982,1988 Socialist Concentration letter,stopped
1981 Romska Editor,Bulletin Konrad S,STOP
weekly Kielce he,printing Folk X,collaborator of
12  VIII,1985 SOR crypt,-1
1981  member,1 correction plant,suspended
1982 registration 1989,repeatedly  revisions,stopped
2016 appeal court,special  services,From
Skierniewice EC Brands;1984,1988 Sor Krypt,stone
9 prison VII,radio emissions radio Toruń,participant in
Electoral he,electronic Supervisory plants,WTO);after
Municipal  retailer,agricultural machinery Kutno,factories
1980 co -organizer,intra -union use,""""
1983 Marian Lipski,20).1983 Wojszyce GM.Bedlno,From
Again  worker,then unemployment 2004,retired
Chairman,then Christian Kutno,Democracy
1981  1989,Płock crypt sauce,Broil
Aleksander Kania,1945 Jagiellonian University,graduate of
1977 Academic Distribute organizer,"including""Workman Scientific Courses",interrogated
13  XII,1981 Kielce July,interned in
1977  1982,WYDZIII KW crypt,Bem
1981  Participant,77 Western Grześ,participant
1965 Jerzy He,Evening Second High Gdynia,graduated from
1985 Fabric Railway Arrested,1986 Solidarity amnesty,IV
he,own advertising Gdynia,runs
1931 K. He,agricultural accounting Ropczyce,graduated from agricultural
1949  Hammer,7 years Rawicz,released
1980  he,1981 South Eastern Region,From
occasional Catholic Intelligence founder,Repeatedly Dębica.1982 officers,retained
1992–2002 Lubaczów member,political opposition reasons,repressed for political
Golden Cross,Trade Union Solidarity,awarded
materials,IV EC Krypt,Bohemian
operating Gdańsk organizer,foreign strike Committee journalists,provided
1986  he,1986 High Services Gdańsk,employed at
cultural  activist,Polonia Freedom,awarded
1959 born5 He,high Machine Gdańsk,graduated from
1 3 II,1985 Polish Gdańsk,Academy of
made B. leaflets,1980 Lech Wałęsa,printed
participant,Solidarity Lublin 1995,retired
1955 Jan Karelia).He,last V High consent,born15
1980 Gdańsk Lenin,1980 engineering works,IX
again welder;III VI,Committee printing Gdansk,worked in
1981  Isolation,1982  employment,After
then service IT,Ryszard Graliński,services
1948 born8 graduate,International Warsaw,graduated from
1980 Founding Bureau,Copper Committee Independent Publishers,Included
Author,specialist rock meters,works on
1949 Lubuskie Voivodeship).He,High Pruszków,Karuda
1980 deputy chairman,then Company Commission,From
1976  1978,1982 Father Bydgoszcz,dealt with private
S Kutno land,independent National Niezniazek,gathered
1981,DepartmentIIIA SOR crypt,Act
1954 born16 He,main Gdańsk Shipyard,graduated from
anti  projects,Production Gdańsk refinery,made
He,central breathing regulation,explained central
provisional Podkarpacie Kolporter,own Stanisław Klawe,stopped
V,Solidarity Sor Krypt,Sect
Andy he,1986 Jasna pilgrimages,Initiator
Title laureate,2004 Home Police,Awarded by
30 VIII member,track Korab magazine,participant in
XII 1981 XII Council,COLORTIC Poster Shares,interrogated
1980 co -organizer,Branch plant Giżycko,In
13  XII,interned revision);10 VII,interned in
1978,SOR crypt,Estate
Stanisław He,technical  Warsaw,graduated from
1980  Co,IX 1981 Independence Services Clubs,co
old born14 He,Stanisław Krakow,Konarski in
psychiatric province which,old RMP Opole,placed on
1981 Siedlecko Podlasie he,food Siedlce,delivered
1973 service.1972 Steel,propelled Industrial Krakow,Lenin in
16 SW IV,3 folk V,stamps for
9  VII,KW MO SOR crypt,octopus
Jakub Karpiński,there d.22 sociology,graduate of
monthly . Marek editing,22 Scientific Courses,Signatory of
Minds DYR.Political Institute,1964 Polish Scene,From
1984 Nizinne Autobiography,Communist Polonia Book inside,Dictionary
26  1977,crypt sauce,Master
Polish Catholic he,army,appointed to
where employment he,radio,In
then President Rzeczpospolita graduate,presidential Spokesman Lech election,Wałęsa during
Author,1981).Literature  children,Write for
literary Washington Polish lecturer,2002 Polish Science 2008,retired
young Lass aid he,1991 Polish London,studies at
2013 departmental Lustration Office,14 security authorities,gave
1982 Karwacki born.8 He,professional Poznań car tires,graduated from
Rokita Commission,J. people,pass
Silver Medal,Polish Poland,awarded
1943 b.21 She,technical  Lublin,graduated from
13  XII,district parish God,publications
1990  President,martial National law,From
1963  Appective,Polish attorney.1981 lawyers,entered on
1980  collaborator,1981 1st Commission,provided legal
medal,Poland,deserved for
1968  apprentice,democratic Adwokacki side,judge in
underground Andrzej publications,Bogusław others,transferred
he,law Kalisz,runs
1946  He,technical  school,graduated from
1994 Vice President,"Solidarity"";1992 1995 Automotive Industry 2002",retired
1980 Marian he,1981 Gdańsk region,borrowed
24 removal VI,1981 removal Strzebelinki,released
1953 Witold Ryszard He,professional  Świdnica,completed
9  VI,1991 1982 President,o.o
instructional meeting who,1981 Health Delegate,supplied instructional
2 IX proceedings,court experts,discontinued under
Solidarity pensioners s,Solidarity pensioners section,member of
1977 Co - organizer,opposition Defense Committee,led
COBIRTK Polish He,Senior Main Warsaw,revealed
KS MO SOR Mathematician,1984–16 EC crypt,Mathematician
1947 Michał graduate,1971);The family therapy,held
1976 Factory psychologist,1980 St. Stanisław Szczecin,Mickiewicza in
calledFlying Polish courses,psychological county office,undertaking
1946 Jelenia He,Technical Gdańsk,graduated from
Physisja Zakładowa XI 1982,1988 Military Special SG,Participant of
1982 IX 1989,SOR KRPT.Kama SOR Kompania,Developed by
Spiritual  guardian,S  activists,VIII
dozen  times,several  presbytery,prevented
1987,St. Jakub Szczecin,parish
Kazimierz Ferenc,1944 Cracow Technology,graduate of
"including""Solidarity Malopolska times",searches.1983/1984 Krakow Bieżanów,Chojnacki from
2009 folk SKL,National PO,From
organizer,1983 poultry producers association,In
multiple Underground Publishers;1983 searches,twice  fine,arrested
1964 born28 He,High Siedlce,graduated from
effectively  army,1989 WIP Movement Krakow,participant in
now Black Ukraine).He,Ośnie Lubuskie,graduated from
1981  Participant,1986 carpentry plant,owner of
difficult  conditions).He,Outstanding Central Warsaw,graduated from
father).After 1960,Usługowa Cooperative Międzywojewódzie Usługowa Gdansk,Protection of
1980 KS member,S First Commission Map,Delegate on
1983  he,pension,went to
1934 East K. He,Primary School,graduated from
Isolation,1984 Zamojska Razytocze 1920,Printing on
1982  1984,1984 SOR KRPT.Firemen,Agriculture
repressed Dzierżek Świętosław Fortuna).SB,includingWhen customer registration cards,followed
1991  He,own law firm,led
Jan Krzysztof Kelus,1964 Law sociology,born
Trade Unions Trade he,Sikorska wife,runs
he,public  Azerbaijan,observer on
good Wojciech Staszewski,Prószyński Jan Krzysztof Kelus,gave
1932 Ostrów He,vocational  Toszki,graduated from
1955 work he,again Mera Zap,Tokarz in
Kolporter underground Tygodnik 1989,numerous Mieczysław Halki apartment,revisions in
Solidarność trade S,political Wielkopolska prisoners,member of
8 M. Judgment,1977 centrumio property,reduced
5 IX MKMISSIA,1981 Management BoardRegional,From
private  member,political RS PJN,Chairman of
1970,ThroughoutIIIA Sor Krypt,Cat
Bielsko He,industrial  school,graduated from
general Strike Committee,Bewelery Committee,organizer of
1995  chairman,2002 Bielsko Government Coalition,retired
Nowy he,reactivation PHOMISSION factory,retained
7 VII 1977 19,1984 Sor Krypt,Structure
organizer,Delegate trade SolidAmności,COMMUNIES
9 New XII,public Regional activity,stopped
Golden Honorary Badge,Zdrój SA Philanthropy Poland,honored
1930  graduate,Warsaw,Extraordinary
responsible Mister Comfort,IX 1939 IX true,From Soviet
new War which,newspaper,War
includingPolish  peasants,1988);Historical Lord flood,Radziejowski
2008 Historical Extraordinary,2008 d.10 Warsaw,prof.in(1994
1956 Fame 1968,striking signatory shipyards,appeal
pastoral Jan Author,Polish Jalta perspective,Poland
martial Constitutional she,Polish FriScattered letters,Introduction to
