source,target,edge
13  XII,1981  axle,interned
Free  worker,underground  publications,includingmagazines
1982  XII,KW MO EC KRPT,Developed by
13  XII,1981  axle,interned
1981 underworld activist,underground 20 II anxiety,interned in
Runotex South Wielkopolska information,letter,associated with
underground Stanisław he,smoothly Andrzej OO,handed
consultation Zdzisław signatory,unfounded centrumio SB,used unsuccessful
He,Freedom,awarded
Mermaid Physisja writage,printing  house,made
13  XII,1983  Fr,detained
13  XII,1981  axle,interned in
12/13  XII,1981  axle,interned in
1st Kalisz I,I,part
1980  VI,1989  outz,Developed by
worker,Charity Aid St,In
1980  he,SS monastery,provided
underground Juliusz Szymczak,State Kotlin Station,hid
1981  Republic,martial  PSK,No
founder,independent Cracow Krakow,rebounds for
1980 information office,western press agencies,led
1980 vice chairman,Delegate Commission Map,From
7 Kielce IV,1982  health,interned in
1982  1988,outz,Developed by
1980 opposition author,underground port letters,placed on
poetic radio Szczecin,also Radio Wolna Europe,released in
He,own Great Ciesac,worked in
Middle  URM,again  Chylice,released
1990 Jadwiga who,photographic anniversary masses,journalist in
1977 Board M Subsequently,Automotive Plants Iłża,Champion
1982 PZPR it,underground Free provinceKielce,been on
13  XII,1981  axle,interned in
-,1980 Founding writing,followed by
GSR co,1982 Naval 2,hid
Jan Piotr Kurasiewicz,1947  Chorzów,born20
XI,1989  Mrs,Developed by WatchIII
Zofia Kuratowska,1931  Warsaw,born20
He,Polonia Restituta,awarded
"1989 trade Solidarity"";He",rallies,led
1981  VI,1982 SOR KRPT,Developed by
28  VIII,1980 August agreements,detained
13  XII,1984 Grażyna Boruckie eleven,interned in
23  1989,dayII Dep,Developed by
1990  1991,unemployed Electric School 1999,restored to
Author,numerous  publications,spectacles
1981  interned,retreat March,released
1981  1982,WatchIII crypt sauce,Developed by WatchIII
1981 strike participant,underground health service,pacified by
Piotr Kurowski,1929 on23 Parczew,born
he,resting  children,gave
14 axisIsolation Warsaw IV,Primate Józef Glemp,interned in
1981 Founding Bureau,grade Gdańsk ZR,investigate
I,work,dismissed from
1990  1998,provincial  Gdańsk,restored to
1978,3  December,participant in independent
Co -author,director Michał film,Left
distinguished culture activist,Freedom,awarded
XI XII,1980  company,Mazowsze
1982  24/1982,internment,released from
2006 Golden Cross,Poland Rebirth,Decorated with
1977  1981,crypt sauce,Developed by
1981 strike participant,secret Janina Trojanowska,dismissed from
locksmith,1967 Tobacco Radom,grinder in
1981  Kolporter,Parisian Andrzej Wyrista,includingmagazines
1982  IV,1983 SOR KRPT,Developed under
Krystyna Kuta,1956  Szczecin,born22
13  XII,then Bydgoszcz hand,prison Polish
othersIn Eagle Wrona,othersIn  Reverie,poems
distinguished  badge,Meritorious Culture Poland,awarded
1982  1985,outz,Developed by
Serial  employee,Health Zakłady Mewa SA,plants
WYDZV KW,Sor Krypt,in
1981  organizer,striking UKF radio metallurgists,developed
S post he,Hutniki Huta Lenin,publisher of
S truck factory which,temple,addressed to
regional  priest,people,work
14 Complementary XII,1981 Complementary Głogów,released
prosecutor,1993,depth
18,KW MO EC Krypt,Developed by
17 KW XII,dozen 13 others,interned
1979  January,FacultyIII SOR crypt,worked
1980  chairman,1981 Rzeszów Region,participant in
13  XII,21 VII 1982;fired,interned in
1968  Accountant,work;1972 1990 Farm Wądroże Wielkie,dismissed from
21  XII,1981  Legnica,released
Adam Kazimierz Acid,1954  Kłodzko,born21
collaborator,1981 « Kielce,In
1982  1986,KW MO SOR crypt,worked
Andrzej Flower,1950 Kazimierz Dolny N,born27
organizer,departmental Gdańsk Shipyard,In
19  December,same  day,detained
14  VII,2 SOR KRPT,Developed by
second  referent,1970 ZR Gdynia,collected
Interview Star You,Interview Star River,were
Andrzej Kwiatkowski,1939  fires,born20
1981  Interned,then Underground walls,released
8  VIII,1988 SOR crypt,worked
Jan Kwiatkowski,1941  Lipno,on8
1987 Golden Cross,Poland Culture,awarded
2008,S Social L,appointed
He,Freedom,awarded
28  XII,WSW SOR KRPT,Retracted by
Wojciech Józef Kwidziński,Gdańsk,born26
Metal School cooperation,School Warsaw,participant in
embedded  inIsolation,Strzebielinek,released
1987 Stalowa revision,Mo  officers,stopped
organizer,1982  apartment,hid in
1981  Participant,brutally National anxiety,interned in
Barbara Lidia Labuda,1946  Żmigród,born19
1975,independent  Wrocław,Leading
Wiktor he,Solidarność Nszowiek W,prescribed on
14  XII,S Virgin SB,prevented
1979  XII,1982  WatchIII,Developed by
12  XII,1981  axle,engaged in
17  VIII,1983 crypt sauce,worked
17  XII,1981  strike,released from
19 February -28,1982 crypt sauce,worked
1981  that,OO monastery,member of
13  XII,1981  axle,interned in
S  he,6  months,gave
educational Bureau President,Education Warmian Masurian ZR,delegate on
1981  1982,WatchIII SOR KRPT,Developed by WatchIII
13  XII,stage Voivodeship Public Olsztyn,Worker of
social draft Roadholding We,social draft Roadholding reform,President of
organizer,departmental Gdańsk Shipyard,In
trade union S »,Malbork plants,voice
Janusz Summer,1952  Lublin,born17
Rural Youth We,Oder,keep
1980 founder MKOMISJA member,1981 Party Organizational Structures,Map;In
13  XII,1981  Iława,interned in
1991,children,involved in
Marian Alojzy Lemke,1946  Gniew,on8
16  XII,1981 AŚ KW incl,Interned
1980 strike participant,16 Social XII,led to
early  he,invalid  cooperatives,made
1955  Assistant,1995 Patomorphology Zos,No
V,FacultyIII SOR crypt,worked
Ryszard Szczepan Lendas,1946 Dębicz k,born26
4 III judgment,eleven Pomeranian Military process,acquitted
1991  directorTechnical,Salon;1995 Commercial Union 2007,agent;Unemployed since
1981  VII,1983 EC Krypt,may in
27  XII,called KW axle,stopped in
cultural  activist,Polonia Restituta,awarded
1985  1988,SOR KRPT,Developed by
17  XII,1981  axle,interned in
1988  Participant,Mielec  Dębica,contacts with
1982 PZPR it,work,released from
1985,outz,Developed by
1980 strike participant,1980 Founding Region,I
Bogdan Leśniewski,1954  Szczecin,born12
Scouting,2010 Polish Scouting prickly,Author of
organizer,packaging Gdańsk Shipyard,In
Member,1982 Military SN,gave
Honorary Citizen,Freedom,awarded
co -organizer,1 V WS,In
he,WatchIII KW EC,expired by
1982 Supreme penalty,1 hospital place,changed to
Wacław Lewkowicz,1944  Bialystok,born4
editor Wyborcza Wyborcza,Pomerania Gdański,editor
1984–5  October,2 EC crypt,worked
Hieronim Liberkowska,1945  Grajewo,born27
1981  November,SOS SOR crypt,worked
1980  Chairman,trade unions trade XI,seconded
20 KW XII,1981  anxiety,interned in
1997 Political Order,free Poland Rebirth,repressed from
He,Freedom,awarded
1981  VII,so KW crypt,Developed by WatchIII
1957  Tokarz,1962 Szczecin shipyard,work
16  XII,1981  ZW,stopped
worker,polygraphic  structure,supported
S Rzeszów Dairy -,Second Rzeszów Region,leading
1981,Mo EC Krypt,Developed by
Edward July,1936  K,born27
13  XII,1981  axle,interned in
1981,so Zielona crypt,worked
1980  1985,outz,Developed by
We,1980  editor,Report
1983  Signatory,COMMUNITY COMMITTEE COMMITTEE Solidarity,Statements b
Laureate,State Award II,m
owner,Szklarski Zaklaski,was
Solidarity » Earth Zamojska he,independent Zamość region,initiator of
Edward Lipkowski,1936  Tuchola,born15
fromWeapons,folk authority,claimed
he,underground apartment activists,1982–1988
1989,Solidarity Association Dignity,acted in
17  XII,Website Gdańsk Shipyard,stopped after
Franciszek Lipowski,1936  Kalisz,on8
He,stone,led
angelic bus He,financial Władysław Frasyniuk,took
1981  Participant,SB V,released
1970 IX 1989,WatchIII II Depth,Developed by
then  vice,departmental Gdańsk Shipyard,In
22  IV,Solidarity trade unions,Neviles
organizer,KS,In
Marian Lisowiec,1950  Olsztyn,born11
then Józef he,underground Lucyna Prylińska,participated
1981  Participant,Independent Government trade union,Associate of
1981 Biała novel,underground Pre Wriewit,Word
29 removal IV,1981 removal Strzebelinki,released
28  VIII,then Workplace i,detained
13  XII,first Holy Communion,interned in
1984 Pre Prince,books,is naked
17 IX 1982,WatchIIIa crypt sauce,Developed by
national  II,permanent Silesian Tarnów,distributed permanent
1981 Ward Region,olsztyn Tygodnik Ostróda,WarmianskomMazurski;CLORTERS
underground Tygodnik Mazowsze,many Blessed Virgin times,interned in
1982  1989,WYDZV,WUSW olsztyn
13  XII,1981  axle,interned in
1981  XII,Mo K Sor Krypt,Developed by
1974  Mechanic,inProvincial communication Poznań,cooperatives
We,organizers Sokołów Podn,IX
23 Intertained VII,1981 Intertained Refresh,released
She,othersIn Trois COULEURS,played
member,ZR Second Wild construction,S
II 9 II VIII,KW Mo crypt sauce,wusw in
Stanisław Łakomy,1940  Wieluń,born17
13  XII,1982 anniversary manifestations;30 axle,interned in
19  November,SO V crypt,worked
Katarzyna Łaniewska Błaszczak,1933  Łódź,born20
1981  participant,underground actors environment,After
2002 Polish retirement;He,WSC  Warsaw,occurs in
author,is Kitchen book grandmother,cook with
Cross,cultural Culture Gloria activist,awarded
13  XII,1981  axle,interned in
Mirosław Łapa,1964 on23 Kępno,born
chairman,Jacek leaflets,printers
Zbigniew Łapik,1956  Grudziądz,born21
Antoni Łassa,1928 Osowiecu Grajewa,born26
1958 Deputy manager,X 1977 X St,parish
Next MKommisja Information Gablot,1981 Konin Catholic Club,provided
13  XII,1981 Holy Mass,celebrated
he,Solidarity election campaign,shared
Solidarity Lower studies,underground Wiesławy press,cooperated with
26  VI,WatchIII Sor Krypt,Developed by
she,Krakow,came to
1981  she,removal Rzeszów,hiding in
critic,Nevertheless Professional Nevils,participant of
official  He,coming removal Rzeszów,Ruzyecki
Mieczysław Marian Łazarz,1936  Kraśnik,born1
13  XII,21  VII,interned in
Committee Civic Committee,parliamentary Krasnik elections,VI
1981 Factory machine tools,agricultural Ponar Tarnów);1980 Wojnicz,specialized
Benon Stanisław Łączek,1944  Włoszczowa,on8
7 Kielce IV,1981 Kielce Sands,released
1985;The Marek Tumidajewicz,independent book othersEditor,were
publishing house volume,underground New literature,From
Zbigniew Jan Łełyk,1959 Kędzierzyn Koźle,born20
independent trade Operator,1981 Radom PW,helped in
1986 Warsaw Historical blocs,Christian St,thought
1981 informer independent it,press,employed in
9 Bydgoszcz February,1981 Bydgoszcz Gołdap,released
Jan Leonard,1944 born13 Puławy,stem
1980  member,S Branch Puławy Ziemia,employed full
He,Golden Merit,awarded
VII,crypt sauce,Retracted by
13  XII,1981  axle,interned in
Józef Shoulder,Bielsko Biała,born12
Banner Works which,series Podbeskidzie region,amounted to
Maciej Łopiński,1947  Gdańsk,born19
13  XII,30  XII,interned in
1968  Student,harassed  university,detrettes
1982  1989,cooperation  S,Driving
Janusz Łuczak,1962  Warsaw,born23
10 III 1983,SOR KRPT,Developed by
13  XII,1984 PAX association,interned in
1970  1974,EC KRPT,Developed by
23 Warsaw XII,1981 Warsaw Białołęka,released
He,Polonia Restituta,awarded
creator,daily Gazeta Wyborcza,editor
8  IV,1982  Gołdap,INTRONATED IN
10  February,Mo sauce;26 EC,worked
1971 Polish Scene 1976,scenes,No
1978–1980  co,1980 Polish Republic,co
1984,1990 17 p,worked
1989,President;Honorary  ZR,restored to
1982  1983,MO crypt sauce,Developed by
1980  he,thanks Economic efforts,restored
1981 MKommisja chairman;From,1981 WARMIŃSKIE ZR,Committee with
17  XII,1981  axle,interned in
1980  VII,WUSW SOR KRPT,XII
5  IV,so KS crypt,XI
Consular Tribunist,1938 Law Dr,In
1983 Warsaw River crosses,National lawyer,Decorated with
Grażyna Julia Łipacewicz,1940  Warsaw,born15
Laureate,Silver State State Merit,awarded
XII,1981  axle,interned in
military service;1973 1981,Construction Ostrów Wlkp,Employed in
1982 prison he,July,interned in
1967  1971,outz,Developed by
1967  Assistant,third Warsaw students,released after
1969  case,amnesty,arrested for
1981  1982,WatchII Depth,Developed by
I,Union Information Solidarity,underground
22  IV,Legnica WatchV KW p,Developed by
1982–1983,brother,detained
1993  Assistant,Medical Uakademia,adjunct at
1982  1983,MO SOR KRPT,Developed by
then printing will,collectage points,transported
1985  Master,refractory head Radom,plants
Polish Tygodnik Mazowsze,underground Underground Victoria,leaflets
Cross,agriculture,honored with
1982  1984,Mo Crypt sauce,Developed by
4  1989,SOR KRPT,Developed by
Jan Madej,1952 Opole Lubelski,born26
200  miners,15 Enterprise Strike plants,joined
19  XII,third coal minute,arrested
He,Polonia Restituta,awarded
7th strike participant,Structures Ostrów Wlkp,Committee;Together with
1981  he,underground workplace);A Kalisz,transferred
Tadeusz Józef Madziarczyk,1961  Prudnik,born
co KM she,1981 Warsaw Olszynka Grochowska,released
distinguished  badge,Meritorious Culture Poland,awarded
1982  1989,MO EC KRPT,Developed by
called Rokita Committee,1982 prosecutor Zbigniew Knasta,ordered
1991  investigation,Provincial incident,undertook
investigative  pawn,P,refused
family,law enforcement agencies,appeared on
ZOMO statements,operational documentary care,presented in
he,own  Typin,runs
Ryszard Majdzik,1958  Kraków,born20
13  XII,1981  axle,interned in
he,private  it,undertook private
independent Leonard he,Oo,received
Ryszard Stanisław Majewski,1941 Domaniewicz K,born26
He,Polonia Restituta,awarded
Sławomir Majewski,1955  Gdańsk,born20
student  employee,Prasz Ksi Kruże,ibid
1978,OO monastery,made
social Stefan He,polygraphic Mariusz Hendrawarz,transported polygraphic
IX 1 IX XI,WatchIII crypt sauce,Developed by WatchIII
Robert Majka,1962  Przemyśl,born27
then  distributed,Gdańsk churches,approx
1986  April,FacultyIII SOR crypt,worked
1980 Membrance participant,1981 General Milk Labor,member of
xi 24 xi XII,special Czerwony Borze,interned in
1982  1983,Mo EC Krypt,Developed by
14 ZK XII,1981  anxiety,interned in
KW,so  crypt,can in
1 Warsaw VII,interned Warsaw women,dismissed
1981 A member,1985 Catholic Intelligence publication,lectures on
1987–5  V,1990  FacultyDep,worked
Ryszard Painter,1946  Ansbach,born27
We,full ZR intervention 1981,Association of
13  XII,1981  axle,interned in
Malaszka Lesław,1952  Zakopane,born15
26,axle,engaged in
1981  Kolporter,Professional Nevils,PWA
1990 II Chairman,SU Professional Nszek,Tamży
1981  Kolporter,pastoral Solidarity St,In
1981 share Commission,Workstan Commission strike instructions,instructed
13  XII,1981  axle,interned
He,Polonia Restituta,awarded
1977  1978,crypt sauce,Developed by
1993–2003  Pastor,Divine Chełm,parish in
December,1982  Jaworze,interned in
1987  1989,outz,Developed by
famous Puławska Caricatures,judicial whichThe trial,had
12/13  XII,1981  axle,interned in
Deputy Chairman,Solidarity trade Kurów,In
Marian Małecki,1937  Chodzież,born29
23  VII,1981  Wronki,released
Maria Małkowska,III 1947 Nowa Mława,born7
13  XII,1981  axle,interned
X,1981  outz,Developed by
includingAllah Akbar God,films,is great
14  1988,SOR KRPT,WSUW in
he,Parisian Tatra Kultury,helped in
"Press ,",Press election,journalist
1981  Kolporter,1989 Catholic Intelligence Club,includingmagazines
1988 COMMITTEE COMMITTEE COMMUNITY,Individuals trade Solidarity,created during martial
13  XII,1981  axle,interned in
VIII 10 VIII September,FacultyIII crypt sauce,worked
XI,1982 opposition activities,stopped for
1953  Pharmacist,then Kielce pharmaceutical 1986,retired
Leszek Marciniak,1953 Ostrów Wielkopolski,born13
actually church aim,professional  life,was moral
Mieczysław Grzegorz Marczak,1925  Warsaw,born
80  %,strike,told
Rows,volume,selected
includingWhen Social Resistance releasing,1989 publishing houses,After
1980 VIII Co,1980 Working Committee,followed by
school;1979 1980 Polish Hunting 1980,younger Clinical Patology,No
He,Freedom,awarded
25  26,KW MO SOR KRPT,Developed by
3 years hearing,3 years years,aimed at
17  VII,1985  outz,Developed by
owner,Jan Piotrowski,Since
legal PKS Personal she,legal PKS Personal Rzeszów,worked half
XII,SO WatchIIIA WYDZV crypt,Developed by
Polonia Cross,Culture Gloria Artis,awarded
Senior Gdynia Office inspector,protection Voivodship Szczecin,provincein anyEnvironmental
